Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Trainer initialized on GPU

-----TRAINING-----

TRAIN Epoch 0 | Batchsize: 18 | Steps: 535
TRAIN Epoch 0 | Batch 30 | TOTAL 0.8914 | RECON 0.3291 | BCE 0.5457 | KL 0.0165 | ACC 0.7718 | PRC 0.4065 | RCL 0.0051 | F1 0.0101
TRAIN Epoch 0 | Batch 31 | TOTAL 0.9011 | RECON 0.3193 | BCE 0.5647 | KL 0.0171 | ACC 0.7441 | PRC 0.4202 | RCL 0.0039 | F1 0.0078
TRAIN Epoch 0 | Batch 32 | TOTAL 1.0097 | RECON 0.3879 | BCE 0.6085 | KL 0.0133 | ACC 0.7066 | PRC 0.3662 | RCL 0.0045 | F1 0.0090
TRAIN Epoch 0 | Batch 33 | TOTAL 0.9157 | RECON 0.3853 | BCE 0.5192 | KL 0.0111 | ACC 0.7935 | PRC 0.3276 | RCL 0.0119 | F1 0.0230
TRAIN Epoch 0 | Batch 34 | TOTAL 1.0060 | RECON 0.3922 | BCE 0.6000 | KL 0.0138 | ACC 0.7138 | PRC 0.3744 | RCL 0.0108 | F1 0.0211
TRAIN Epoch 0 | Batch 35 | TOTAL 0.9602 | RECON 0.3495 | BCE 0.5971 | KL 0.0136 | ACC 0.7038 | PRC 0.5051 | RCL 0.0203 | F1 0.0390
TRAIN Epoch 0 | Batch 36 | TOTAL 0.9157 | RECON 0.3370 | BCE 0.5676 | KL 0.0112 | ACC 0.7355 | PRC 0.4779 | RCL 0.0357 | F1 0.0665
TRAIN Epoch 0 | Batch 37 | TOTAL 1.0190 | RECON 0.3901 | BCE 0.6179 | KL 0.0110 | ACC 0.6861 | PRC 0.4260 | RCL 0.0455 | F1 0.0823
TRAIN Epoch 0 | Batch 38 | TOTAL 0.8569 | RECON 0.3193 | BCE 0.5279 | KL 0.0097 | ACC 0.7817 | PRC 0.3367 | RCL 0.0811 | F1 0.1307
TRAIN Epoch 0 | Batch 39 | TOTAL 0.7877 | RECON 0.2758 | BCE 0.5022 | KL 0.0097 | ACC 0.8087 | PRC 0.3390 | RCL 0.0987 | F1 0.1528
TRAIN Epoch 0 | Batch 40 | TOTAL 0.8833 | RECON 0.3368 | BCE 0.5358 | KL 0.0107 | ACC 0.7692 | PRC 0.3467 | RCL 0.0728 | F1 0.1204
TRAIN Epoch 0 | Batch 41 | TOTAL 0.8919 | RECON 0.3278 | BCE 0.5535 | KL 0.0106 | ACC 0.7496 | PRC 0.3597 | RCL 0.0397 | F1 0.0715
TRAIN Epoch 0 | Batch 42 | TOTAL 1.0936 | RECON 0.4054 | BCE 0.6766 | KL 0.0116 | ACC 0.6351 | PRC 0.5079 | RCL 0.0138 | F1 0.0269
TRAIN Epoch 0 | Batch 43 | TOTAL 0.8956 | RECON 0.3582 | BCE 0.5278 | KL 0.0095 | ACC 0.7734 | PRC 0.4533 | RCL 0.0115 | F1 0.0224
TRAIN Epoch 0 | Batch 44 | TOTAL 0.9287 | RECON 0.3367 | BCE 0.5828 | KL 0.0092 | ACC 0.7270 | PRC 0.5307 | RCL 0.0041 | F1 0.0081
TRAIN Epoch 0 | Batch 45 | TOTAL 0.7324 | RECON 0.2873 | BCE 0.4380 | KL 0.0070 | ACC 0.8450 | PRC 0.3567 | RCL 0.0030 | F1 0.0060
TRAIN Epoch 0 | Batch 46 | TOTAL 0.9369 | RECON 0.3443 | BCE 0.5845 | KL 0.0080 | ACC 0.7300 | PRC 0.4706 | RCL 0.0008 | F1 0.0017
TRAIN Epoch 0 | Batch 47 | TOTAL 0.8299 | RECON 0.3090 | BCE 0.5134 | KL 0.0074 | ACC 0.7856 | PRC 0.4250 | RCL 0.0006 | F1 0.0013
TRAIN Epoch 0 | Batch 48 | TOTAL 1.0068 | RECON 0.3850 | BCE 0.6140 | KL 0.0078 | ACC 0.7119 | PRC 0.3963 | RCL 0.0009 | F1 0.0018
TRAIN Epoch 0 | Batch 49 | TOTAL 0.9467 | RECON 0.3625 | BCE 0.5768 | KL 0.0074 | ACC 0.7337 | PRC 0.3745 | RCL 0.0013 | F1 0.0026
TRAIN Epoch 0 | Batch 50 | TOTAL 0.7507 | RECON 0.2873 | BCE 0.4572 | KL 0.0062 | ACC 0.8269 | PRC 0.4506 | RCL 0.0106 | F1 0.0207
TRAIN Epoch 0 | Batch 51 | TOTAL 0.9544 | RECON 0.3601 | BCE 0.5876 | KL 0.0066 | ACC 0.7120 | PRC 0.5892 | RCL 0.0219 | F1 0.0423
TRAIN Epoch 0 | Batch 52 | TOTAL 0.8518 | RECON 0.3098 | BCE 0.5349 | KL 0.0070 | ACC 0.7686 | PRC 0.3546 | RCL 0.0349 | F1 0.0635
TRAIN Epoch 0 | Batch 53 | TOTAL 0.9253 | RECON 0.3310 | BCE 0.5881 | KL 0.0063 | ACC 0.7055 | PRC 0.5011 | RCL 0.0542 | F1 0.0978
TRAIN Epoch 0 | Batch 54 | TOTAL 0.8403 | RECON 0.3128 | BCE 0.5216 | KL 0.0059 | ACC 0.7797 | PRC 0.3834 | RCL 0.0786 | F1 0.1305
TRAIN Epoch 0 | Batch 55 | TOTAL 0.9043 | RECON 0.3311 | BCE 0.5666 | KL 0.0066 | ACC 0.7266 | PRC 0.5299 | RCL 0.0994 | F1 0.1673
TRAIN Epoch 0 | Batch 56 | TOTAL 0.9297 | RECON 0.3468 | BCE 0.5762 | KL 0.0067 | ACC 0.7310 | PRC 0.3717 | RCL 0.0772 | F1 0.1279
TRAIN Epoch 0 | Batch 57 | TOTAL 0.7336 | RECON 0.2520 | BCE 0.4757 | KL 0.0059 | ACC 0.8198 | PRC 0.3656 | RCL 0.0787 | F1 0.1295
TRAIN Epoch 0 | Batch 58 | TOTAL 0.8895 | RECON 0.3339 | BCE 0.5487 | KL 0.0070 | ACC 0.7460 | PRC 0.4249 | RCL 0.0456 | F1 0.0824
TRAIN Epoch 0 | Batch 59 | TOTAL 1.0109 | RECON 0.3681 | BCE 0.6366 | KL 0.0062 | ACC 0.6715 | PRC 0.5373 | RCL 0.0113 | F1 0.0221
TRAIN Epoch 0 | Batch 60 | TOTAL 0.9344 | RECON 0.3248 | BCE 0.6034 | KL 0.0063 | ACC 0.7204 | PRC 0.4012 | RCL 0.0058 | F1 0.0114
TRAIN Epoch 0 | Batch 61 | TOTAL 0.6897 | RECON 0.2493 | BCE 0.4357 | KL 0.0047 | ACC 0.8495 | PRC 0.3389 | RCL 0.0071 | F1 0.0139
TRAIN Epoch 0 | Batch 62 | TOTAL 0.8614 | RECON 0.3270 | BCE 0.5295 | KL 0.0049 | ACC 0.7677 | PRC 0.4924 | RCL 0.0028 | F1 0.0056
TRAIN Epoch 0 | Batch 63 | TOTAL 0.8007 | RECON 0.2905 | BCE 0.5049 | KL 0.0052 | ACC 0.7891 | PRC 0.4071 | RCL 0.0026 | F1 0.0052
TRAIN Epoch 0 | Batch 64 | TOTAL 1.0216 | RECON 0.3908 | BCE 0.6254 | KL 0.0054 | ACC 0.6961 | PRC 0.4609 | RCL 0.0015 | F1 0.0030
TRAIN Epoch 0 | Batch 65 | TOTAL 0.9219 | RECON 0.3332 | BCE 0.5827 | KL 0.0060 | ACC 0.7192 | PRC 0.5352 | RCL 0.0020 | F1 0.0039
TRAIN Epoch 0 | Batch 66 | TOTAL 0.9773 | RECON 0.3814 | BCE 0.5904 | KL 0.0056 | ACC 0.7207 | PRC 0.4155 | RCL 0.0029 | F1 0.0058
TRAIN Epoch 0 | Batch 67 | TOTAL 0.8540 | RECON 0.3099 | BCE 0.5381 | KL 0.0060 | ACC 0.7538 | PRC 0.4594 | RCL 0.0158 | F1 0.0305
TRAIN Epoch 0 | Batch 68 | TOTAL 0.8666 | RECON 0.3458 | BCE 0.5166 | KL 0.0042 | ACC 0.7750 | PRC 0.4081 | RCL 0.0270 | F1 0.0506
TRAIN Epoch 0 | Batch 69 | TOTAL 0.7752 | RECON 0.2912 | BCE 0.4801 | KL 0.0039 | ACC 0.8214 | PRC 0.3097 | RCL 0.0365 | F1 0.0653
TRAIN Epoch 0 | Batch 70 | TOTAL 1.0065 | RECON 0.3815 | BCE 0.6198 | KL 0.0052 | ACC 0.6808 | PRC 0.5602 | RCL 0.0260 | F1 0.0498
TRAIN Epoch 0 | Batch 71 | TOTAL 0.9887 | RECON 0.3346 | BCE 0.6477 | KL 0.0064 | ACC 0.6469 | PRC 0.6476 | RCL 0.0360 | F1 0.0682
TRAIN Epoch 0 | Batch 72 | TOTAL 0.9910 | RECON 0.3690 | BCE 0.6157 | KL 0.0063 | ACC 0.6777 | PRC 0.6196 | RCL 0.0648 | F1 0.1173
TRAIN Epoch 0 | Batch 73 | TOTAL 0.8728 | RECON 0.3077 | BCE 0.5596 | KL 0.0055 | ACC 0.7334 | PRC 0.3985 | RCL 0.1043 | F1 0.1653
TRAIN Epoch 0 | Batch 74 | TOTAL 0.7407 | RECON 0.2564 | BCE 0.4801 | KL 0.0042 | ACC 0.8161 | PRC 0.3607 | RCL 0.1802 | F1 0.2403
TRAIN Epoch 0 | Batch 75 | TOTAL 0.8942 | RECON 0.3246 | BCE 0.5641 | KL 0.0054 | ACC 0.7257 | PRC 0.3900 | RCL 0.1237 | F1 0.1878
TRAIN Epoch 0 | Batch 76 | TOTAL 0.9175 | RECON 0.3825 | BCE 0.5305 | KL 0.0045 | ACC 0.7655 | PRC 0.4100 | RCL 0.1164 | F1 0.1813
TRAIN Epoch 0 | Batch 77 | TOTAL 0.8884 | RECON 0.3248 | BCE 0.5586 | KL 0.0050 | ACC 0.7350 | PRC 0.4907 | RCL 0.0662 | F1 0.1167
TRAIN Epoch 0 | Batch 78 | TOTAL 0.8702 | RECON 0.3541 | BCE 0.5122 | KL 0.0039 | ACC 0.7785 | PRC 0.4929 | RCL 0.0247 | F1 0.0471
TRAIN Epoch 0 | Batch 79 | TOTAL 0.8001 | RECON 0.3462 | BCE 0.4504 | KL 0.0035 | ACC 0.8339 | PRC 0.4494 | RCL 0.0044 | F1 0.0087
TRAIN Epoch 0 | Batch 80 | TOTAL 0.8405 | RECON 0.3300 | BCE 0.5068 | KL 0.0036 | ACC 0.7830 | PRC 0.4615 | RCL 0.0002 | F1 0.0004
TRAIN Epoch 0 | Batch 81 | TOTAL 0.8857 | RECON 0.3666 | BCE 0.5155 | KL 0.0037 | ACC 0.7839 | PRC 0.8000 | RCL 0.0001 | F1 0.0003
TRAIN Epoch 0 | Batch 82 | TOTAL 0.9993 | RECON 0.3638 | BCE 0.6317 | KL 0.0038 | ACC 0.7066 | PRC 0.0000 | RCL 0.0000 | F1 0.0000
TRAIN Epoch 0 | Batch 83 | TOTAL 0.7595 | RECON 0.2766 | BCE 0.4791 | KL 0.0038 | ACC 0.8072 | PRC 1.0000 | RCL 0.0000 | F1 0.0001
TRAIN Epoch 0 | Batch 84 | TOTAL 0.9753 | RECON 0.3535 | BCE 0.6176 | KL 0.0041 | ACC 0.7094 | PRC 0.5000 | RCL 0.0000 | F1 0.0000
TRAIN Epoch 0 | Batch 85 | TOTAL 0.8455 | RECON 0.3455 | BCE 0.4964 | KL 0.0035 | ACC 0.7941 | PRC 0.7143 | RCL 0.0001 | F1 0.0002
TRAIN Epoch 0 | Batch 86 | TOTAL 0.8579 | RECON 0.3421 | BCE 0.5124 | KL 0.0034 | ACC 0.7788 | PRC 0.5385 | RCL 0.0008 | F1 0.0015
TRAIN Epoch 0 | Batch 87 | TOTAL 0.8833 | RECON 0.3277 | BCE 0.5522 | KL 0.0035 | ACC 0.7401 | PRC 0.5718 | RCL 0.0038 | F1 0.0076
TRAIN Epoch 0 | Batch 88 | TOTAL 0.9780 | RECON 0.3845 | BCE 0.5897 | KL 0.0038 | ACC 0.7142 | PRC 0.4562 | RCL 0.0160 | F1 0.0309
TRAIN Epoch 0 | Batch 89 | TOTAL 0.8612 | RECON 0.3097 | BCE 0.5478 | KL 0.0038 | ACC 0.7386 | PRC 0.5372 | RCL 0.1010 | F1 0.1700
TRAIN Epoch 0 | Batch 90 | TOTAL 0.8491 | RECON 0.2984 | BCE 0.5471 | KL 0.0035 | ACC 0.7466 | PRC 0.4282 | RCL 0.1840 | F1 0.2574
TRAIN Epoch 0 | Batch 91 | TOTAL 0.7620 | RECON 0.2613 | BCE 0.4972 | KL 0.0035 | ACC 0.7906 | PRC 0.3161 | RCL 0.2505 | F1 0.2795
TRAIN Epoch 0 | Batch 92 | TOTAL 0.9091 | RECON 0.3266 | BCE 0.5786 | KL 0.0039 | ACC 0.7055 | PRC 0.3789 | RCL 0.1938 | F1 0.2564
TRAIN Epoch 0 | Batch 93 | TOTAL 0.8513 | RECON 0.3187 | BCE 0.5293 | KL 0.0033 | ACC 0.7601 | PRC 0.4104 | RCL 0.2201 | F1 0.2866
TRAIN Epoch 0 | Batch 94 | TOTAL 0.7775 | RECON 0.2717 | BCE 0.5024 | KL 0.0034 | ACC 0.7812 | PRC 0.4279 | RCL 0.1811 | F1 0.2545
TRAIN Epoch 0 | Batch 95 | TOTAL 0.7770 | RECON 0.2889 | BCE 0.4846 | KL 0.0036 | ACC 0.8080 | PRC 0.3911 | RCL 0.0992 | F1 0.1582
TRAIN Epoch 0 | Batch 96 | TOTAL 0.9091 | RECON 0.2992 | BCE 0.6058 | KL 0.0041 | ACC 0.6843 | PRC 0.6241 | RCL 0.0297 | F1 0.0566
